date Mon Sep 16 17:50:12.990 2024
base hex  timestamps absolute
internal events logged
Begin Triggerblock Sat Jan 03 05:19:04.252 1970
 0.000000 Start of measurement
 1.236990 1  FA              Rx   d 7 3C 00 00 00 00 00 00
 1.300721 1  ErrorFrame
 1.301743 1  ErrorFrame
 1.302985 1  ErrorFrame
 1.333853 1  71              Rx   d 3 00 C0 12
 1.335431 1  FB              Rx   d 6 00 00 00 00 00 00
 1.337089 1  FA              Rx   d 7 3C 00 00 00 00 00 00
 1.400749 1  ErrorFrame
 1.401987 1  ErrorFrame
 1.403007 1  ErrorFrame
 1.433897 1  71              Rx   d 3 00 C0 12
 1.435507 1  FB              Rx   d 6 00 00 00 00 00 00
 1.437198 1  FA              Rx   d 7 3C 00 00 00 00 00 00
 1.500820 1  ErrorFrame
 1.501852 1  ErrorFrame
 1.503154 1  ErrorFrame
 1.533970 1  71              Rx   d 3 00 C0 12
 1.535626 1  FB              Rx   d 6 00 00 00 00 00 00
 1.537012 1  FA              Rx   d 7 3C 00 00 00 00 00 00
 1.600457 1  ErrorFrame
 1.602002 1  ErrorFrame
 1.603294 1  ErrorFrame
 1.633948 1  71              Rx   d 3 00 C0 12
 1.635556 1  FB              Rx   d 6 00 00 00 00 00 00
 1.637168 1  FA              Rx   d 7 3C 00 00 00 00 00 00
 1.700602 1  ErrorFrame
 1.701692 1  ErrorFrame
 1.703422 1  ErrorFrame
 1.733676 1  71              Rx   d 3 00 C0 12
 1.735356 1  FB              Rx   d 6 00 00 00 00 00 00
 1.737070 1  FA              Rx   d 7 3C 00 00 00 00 00 00
 1.800581 1  ErrorFrame
 1.802297 1  ErrorFrame
 1.803437 1  ErrorFrame
 1.833953 1  71              Rx   d 3 00 C0 12
 1.835669 1  FB              Rx   d 6 00 00 00 00 00 00
 1.837333 1  FA              Rx   d 7 3C 00 00 00 00 00 00
 1.900633 1  ErrorFrame
 1.901751 1  ErrorFrame
 1.903582 1  ErrorFrame
 1.933489 1  71              Rx   d 3 00 C0 12
 1.935632 1  FB              Rx   d 6 00 00 00 00 00 00
 1.936818 1  FA              Rx   d 7 3C 00 00 00 00 00 00
 2.000610 1  ErrorFrame
 2.002146 1  ErrorFrame
 2.003330 1  ErrorFrame
 2.033964 1  71              Rx   d 3 00 C0 12
 2.035592 1  FB              Rx   d 6 00 00 00 00 00 00
 2.037208 1  FA              Rx   d 7 3C 00 00 00 00 00 00
 2.100653 1  ErrorFrame
 2.101981 1  ErrorFrame
 2.103191 1  ErrorFrame
 2.133609 1  71              Rx   d 3 00 C0 12
 2.135607 1  FB              Rx   d 6 00 00 00 00 00 00
 2.137027 1  FA              Rx   d 7 3C 00 00 00 00 00 00
 2.200671 1  ErrorFrame
 2.202115 1  ErrorFrame
 2.203335 1  ErrorFrame
 2.233867 1  71              Rx   d 3 00 C0 12
 2.235347 1  FB              Rx   d 6 00 00 00 00 00 00
 2.237070 1  FA              Rx   d 7 3C 00 00 00 00 00 00
 2.300480 1  ErrorFrame
 2.302138 1  ErrorFrame
 2.303544 1  ErrorFrame
 2.333688 1  71              Rx   d 3 00 C0 12
 2.335578 1  FB              Rx   d 6 00 00 00 00 00 00
 2.337186 1  FA              Rx   d 7 3C 00 00 00 00 00 00
 2.400755 1  ErrorFrame
 2.401868 1  ErrorFrame
 2.402986 1  ErrorFrame
 2.433660 1  71              Rx   d 3 00 C0 12
 2.435552 1  FB              Rx   d 6 00 00 00 00 00 00
 2.436840 1  FA              Rx   d 7 3C 00 00 00 00 00 00
 2.500522 1  ErrorFrame
 2.502182 1  ErrorFrame
 2.502854 1  ErrorFrame
 2.533974 1  71              Rx   d 3 00 C0 12
 2.535324 1  FB              Rx   d 6 00 00 00 00 00 00
 2.536974 1  FA              Rx   d 7 3C 00 00 00 00 00 00
 2.600529 1  ErrorFrame
 2.602081 1  ErrorFrame
 2.603293 1  ErrorFrame
 2.633547 1  71              Rx   d 3 00 C0 12
 2.635877 1  FB              Rx   d 6 00 00 00 00 00 00
 2.636937 1  FA              Rx   d 7 3C 00 00 00 00 00 00
 2.700755 1  ErrorFrame
 2.701865 1  ErrorFrame
 2.702998 1  ErrorFrame
 2.733823 1  71              Rx   d 3 00 C0 12
 2.735604 1  FB              Rx   d 6 00 00 00 00 00 00
 2.736972 1  FA              Rx   d 7 3C 00 00 00 00 00 00
 2.800574 1  ErrorFrame
 2.802176 1  ErrorFrame
 2.803306 1  ErrorFrame
 2.833818 1  71              Rx   d 3 00 C0 12
 2.835452 1  FB              Rx   d 6 00 00 00 00 00 00
 2.837278 1  FA              Rx   d 7 3C 00 00 00 00 00 00
 2.900819 1  ErrorFrame
 2.901847 1  ErrorFrame
 2.903103 1  ErrorFrame
 2.933745 1  71              Rx   d 3 00 C0 12
 2.935395 1  FB              Rx   d 6 00 00 00 00 00 00
 2.937063 1  FA              Rx   d 7 3C 00 00 00 00 00 00
 3.000689 1  ErrorFrame
 3.002147 1  ErrorFrame
 3.003267 1  ErrorFrame
 3.033793 1  71              Rx   d 3 00 C0 12
 3.035209 1  FB              Rx   d 6 00 00 00 00 00 00
 3.036904 1  FA              Rx   d 7 3C 00 00 00 00 00 00
 3.100876 1  ErrorFrame
 3.101880 1  ErrorFrame
 3.103328 1  ErrorFrame
 3.133502 1  71              Rx   d 3 00 C0 12
 3.135134 1  FB              Rx   d 6 00 00 00 00 00 00
 3.137016 1  FA              Rx   d 7 3C 00 00 00 00 00 00
 3.200368 1  ErrorFrame
 3.201997 1  ErrorFrame
 3.203207 1  ErrorFrame
 3.233761 1  71              Rx   d 3 00 C0 12
 3.235519 1  FB              Rx   d 6 00 00 00 00 00 00
 3.237231 1  FA              Rx   d 7 3C 00 00 00 00 00 00
 3.300873 1  ErrorFrame
 3.301917 1  ErrorFrame
 3.303379 1  ErrorFrame
 3.333891 1  71              Rx   d 3 00 C0 12
 3.335633 1  FB              Rx   d 6 00 00 00 00 00 00
 3.337009 1  FA              Rx   d 7 3C 00 00 00 00 00 00
 3.400490 1  ErrorFrame
 3.402334 1  ErrorFrame
 3.402956 1  ErrorFrame
 3.433818 1  71              Rx   d 3 00 C0 12
 3.435528 1  FB              Rx   d 6 00 00 00 00 00 00
 3.437276 1  FA              Rx   d 7 3C 00 00 00 00 00 00
 3.500746 1  ErrorFrame
 3.501852 1  ErrorFrame
 3.503209 1  ErrorFrame
 3.533964 1  71              Rx   d 3 00 C0 12
 3.535347 1  FB              Rx   d 6 00 00 00 00 00 00
 3.537075 1  FA              Rx   d 7 3C 00 00 00 00 00 00
 3.600675 1  ErrorFrame
 3.601783 1  ErrorFrame
 3.603029 1  ErrorFrame
 3.633591 1  71              Rx   d 3 00 C0 12
 3.635341 1  FB              Rx   d 6 00 00 00 00 00 00
 3.637019 1  FA              Rx   d 7 3C 00 00 00 00 00 00
 3.700512 1  ErrorFrame
 3.702052 1  ErrorFrame
 3.703226 1  ErrorFrame
 3.733422 1  71              Rx   d 3 00 C0 12
 3.735474 1  FB              Rx   d 6 00 00 00 00 00 00
 3.736774 1  FA              Rx   d 7 3C 00 00 00 00 00 00
 3.800696 1  ErrorFrame
 3.801620 1  ErrorFrame
 3.803426 1  ErrorFrame
 3.833822 1  71              Rx   d 3 00 C0 12
 3.835482 1  FB              Rx   d 6 00 00 00 00 00 00
 3.837131 1  FA              Rx   d 7 3C 00 00 00 00 00 00
 3.900621 1  ErrorFrame
 3.902125 1  ErrorFrame
 3.903179 1  ErrorFrame
 3.933587 1  71              Rx   d 3 00 C0 12
 3.935735 1  FB              Rx   d 6 00 00 00 00 00 00
 3.936669 1  FA              Rx   d 7 3C 00 00 00 00 00 00
 4.000899 1  ErrorFrame
 4.001874 1  ErrorFrame
 4.003198 1  ErrorFrame
 4.033922 1  71              Rx   d 3 00 C0 12
 4.035360 1  FB              Rx   d 6 00 00 00 00 00 00
 4.037098 1  FA              Rx   d 7 3C 00 00 00 00 00 00
 4.100728 1  ErrorFrame
 4.101724 1  ErrorFrame
 4.103418 1  ErrorFrame
 4.133740 1  71              Rx   d 3 00 C0 12
 4.135782 1  FB              Rx   d 6 00 00 00 00 00 00
 4.136866 1  FA              Rx   d 7 3C 00 00 00 00 00 00
 4.200377 1  ErrorFrame
 4.201971 1  ErrorFrame
 4.233765 1  71              Rx   d 3 00 C0 12
 4.235499 1  FB              Rx   d 6 00 00 00 00 00 00
 4.237067 1  FA              Rx   d 7 3C 00 00 00 00 00 00
 4.333723 1  71              Rx   d 3 00 C0 12
 4.335272 1  FB              Rx   d 6 00 00 00 00 00 00
 4.337000 1  FA              Rx   d 7 3C 00 00 00 00 00 00
 4.433597 1  71              Rx   d 3 00 C0 12
 4.435355 1  FB              Rx   d 6 00 00 00 00 00 00
 4.437003 1  FA              Rx   d 7 3C 00 00 00 00 00 00
 4.533680 1  71              Rx   d 3 00 C0 12
 4.535538 1  FB              Rx   d 6 00 00 00 00 00 00
 4.537150 1  FA              Rx   d 7 3C 00 00 00 00 00 00
 4.633796 1  71              Rx   d 3 00 C0 12
 4.635662 1  FB              Rx   d 6 00 00 00 00 00 00
 4.637293 1  FA              Rx   d 7 3C 00 00 00 00 00 00
 4.734021 1  71              Rx   d 3 00 C0 12
 4.735365 1  FB              Rx   d 6 00 00 00 00 00 00
 4.737079 1  FA              Rx   d 7 3C 00 00 00 00 00 00
 4.833426 1  71              Rx   d 3 00 C0 12
 4.835490 1  FB              Rx   d 6 00 00 00 00 00 00
 4.837054 1  FA              Rx   d 7 3C 00 00 00 00 00 00
 4.933796 1  71              Rx   d 3 00 C0 12
 4.935408 1  FB              Rx   d 6 00 00 00 00 00 00
 4.937162 1  FA              Rx   d 7 3C 00 00 00 00 00 00
 5.033641 1  71              Rx   d 3 00 C0 12
 5.035445 1  FB              Rx   d 6 00 00 00 00 00 00
 5.037229 1  FA              Rx   d 7 3C 00 00 00 00 00 00
 5.133593 1  71              Rx   d 3 00 C0 12
 5.135358 1  FB              Rx   d 6 00 00 00 00 00 00
 5.136974 1  FA              Rx   d 7 3C 00 00 00 00 00 00
 5.233666 1  71              Rx   d 3 00 C0 12
 5.235258 1  FB              Rx   d 6 00 00 00 00 00 00
 5.236872 1  FA              Rx   d 7 3C 00 00 00 00 00 00
 5.333925 1  71              Rx   d 3 00 C0 12
 5.335373 1  FB              Rx   d 6 00 00 00 00 00 00
 5.336945 1  FA              Rx   d 7 3C 00 00 00 00 00 00
 5.433498 1  71              Rx   d 3 00 C0 12
 5.435356 1  FB              Rx   d 6 00 00 00 00 00 00
 5.437247 1  FA              Rx   d 7 3C 00 00 00 00 00 00
 5.533471 1  71              Rx   d 3 00 C0 12
 5.535561 1  FB              Rx   d 6 00 00 00 00 00 00
 5.536783 1  FA              Rx   d 7 3C 00 00 00 00 00 00
 5.633350 1  71              Rx   d 3 00 C0 12
 5.635706 1  FB              Rx   d 6 00 00 00 00 00 00
 5.636948 1  FA              Rx   d 7 3C 00 00 00 00 00 00
 5.733496 1  71              Rx   d 3 00 C0 12
 5.735160 1  FB              Rx   d 6 00 00 00 00 00 00
 5.736818 1  FA              Rx   d 7 3C 00 00 00 00 00 00
 5.833419 1  71              Rx   d 3 00 C0 12
 5.835473 1  FB              Rx   d 6 00 00 00 00 00 00
 5.837069 1  FA              Rx   d 7 3C 00 00 00 00 00 00
 5.933377 1  71              Rx   d 3 00 C0 12
 5.935598 1  FB              Rx   d 6 00 00 00 00 00 00
