date Sat Sep 28 00:08:36.429 2024
base hex  timestamps absolute
internal events logged
Begin Triggerblock Wed Jan 07 11:36:56.173 1970
 0.000000 Start of measurement
 0.120788 1  ErrorFrame
 0.121044 1  ErrorFrame
 0.121300 1  ErrorFrame
 0.121556 1  ErrorFrame
 0.121812 1  ErrorFrame
 0.122068 1  ErrorFrame
 0.122323 1  ErrorFrame
 0.122579 1  ErrorFrame
 0.122835 1  ErrorFrame
 0.123091 1  ErrorFrame
 0.123347 1  ErrorFrame
 0.123603 1  ErrorFrame
 0.123859 1  ErrorFrame
 0.124115 1  ErrorFrame
 0.124371 1  ErrorFrame
 0.124627 1  ErrorFrame
 0.124883 1  ErrorFrame
 0.125139 1  ErrorFrame
 0.125395 1  ErrorFrame
 0.125651 1  ErrorFrame
 0.125950 1  ErrorFrame
 0.126206 1  ErrorFrame
 0.126462 1  ErrorFrame
 0.126718 1  ErrorFrame
 0.126974 1  ErrorFrame
 0.127230 1  ErrorFrame
 0.127486 1  ErrorFrame
 0.127742 1  ErrorFrame
 0.127998 1  ErrorFrame
 0.128254 1  ErrorFrame
 0.128510 1  ErrorFrame
 0.128766 1  ErrorFrame
 0.129022 1  ErrorFrame
 0.129278 1  ErrorFrame
 0.129534 1  ErrorFrame
 0.129790 1  ErrorFrame
 0.130046 1  ErrorFrame
 0.130302 1  ErrorFrame
 0.130558 1  ErrorFrame
 0.130814 1  ErrorFrame
 0.131070 1  ErrorFrame
 0.131326 1  ErrorFrame
 0.131625 1  ErrorFrame
 0.131881 1  ErrorFrame
 0.132137 1  ErrorFrame
 0.132393 1  ErrorFrame
 0.132649 1  ErrorFrame
 0.132905 1  ErrorFrame
 0.133161 1  ErrorFrame
 0.133417 1  ErrorFrame
 0.133673 1  ErrorFrame
 0.133929 1  ErrorFrame
 0.134185 1  ErrorFrame
 0.134441 1  ErrorFrame
 0.134697 1  ErrorFrame
 0.134953 1  ErrorFrame
 0.135209 1  ErrorFrame
 0.135465 1  ErrorFrame
 0.135721 1  ErrorFrame
 0.135977 1  ErrorFrame
 0.136233 1  ErrorFrame
 0.136489 1  ErrorFrame
 0.136745 1  ErrorFrame
 0.137043 1  ErrorFrame
 0.137299 1  ErrorFrame
 0.137555 1  ErrorFrame
 0.137811 1  ErrorFrame
 0.138067 1  ErrorFrame
 0.138323 1  ErrorFrame
 0.138579 1  ErrorFrame
 0.138835 1  ErrorFrame
 0.139091 1  ErrorFrame
 0.139347 1  ErrorFrame
 0.139603 1  ErrorFrame
 0.139859 1  ErrorFrame
 0.140115 1  ErrorFrame
 0.140371 1  ErrorFrame
